Chemical Formula,Trace,State,Date
5HA,"['A5H', 'HA5', '5HA']",Solid,2016-07-07 12:09:00
HT8,"['H8T', 'H8T', '8TH']",Liquid,2021-07-21 09:04:46
1BV,['BV1'],Liquid,2021-07-17 18:19:17
UK1,"['1UK', '1KU', 'UK1']",Solid,2020-06-15 11:43:58
NQ7,"['7NQ', '7NQ', 'QN7']",Gas,2014-10-06 04:04:13
A1K,"['1KA', 'A1K', 'KA1']",Liquid,2012-05-18 19:10:26
VH7,"['7HV', 'VH7', 'HV7']",Solid,2010-06-26 13:03:46
ZD1,[],Solid,2011-06-14 07:46:50
D2Q,"['2QD', '2QD']",Liquid,2020-03-15 17:01:39
5LD,"['5DL', '5DL', '5LD']",Solid,2017-08-12 08:24:10
8RO,['R8O'],Liquid,2018-07-25 13:22:09
RT5,[],Solid,2015-01-15 23:42:36
0HL,"['LH0', 'L0H', 'L0H']",Liquid,2012-11-19 22:48:38
N0U,"['N0U', '0NU']",Solid,2017-09-16 23:49:30
P5Y,[],Liquid,2014-12-04 09:28:13
DJ3,"['D3J', '3JD']",Solid,2017-04-12 10:04:13
UP1,['UP1'],Liquid,2014-04-19 16:53:27
8XI,"['XI8', 'I8X']",Gas,2020-11-30 20:42:22
DZ1,['DZ1'],Solid,2019-05-18 14:28:26
NB5,[],Solid,2016-04-29 19:35:28
W3U,"['3WU', 'UW3']",Liquid,2021-03-31 02:40:40
O6J,"['6OJ', 'OJ6', 'J6O']",Gas,2011-11-05 05:46:29
Z1I,"['Z1I', 'Z1I']",Liquid,2016-11-24 07:26:45
L9T,"['9LT', 'TL9']",Gas,2012-12-21 17:04:33
U2Q,['U2Q'],Solid,2017-12-25 11:39:45
S6F,"['SF6', '6FS']",Gas,2021-08-23 11:41:03
QO6,"['OQ6', 'QO6']",Gas,2010-07-31 03:29:16
FU4,"['4FU', '4UF', 'UF4']",Solid,2018-04-09 05:34:23
2KE,[],Gas,2015-09-22 11:57:20
5UM,[],Solid,2013-06-21 04:53:28
7VD,[],Gas,2021-02-16 03:09:15
YO2,['YO2'],Liquid,2015-11-30 15:49:31
XF3,['3XF'],Solid,2012-03-03 22:58:36
H7N,"['H7N', 'HN7']",Liquid,2013-01-29 04:22:23
GG8,[],Solid,2017-05-13 07:49:01
4WJ,"['4JW', 'W4J']",Solid,2014-12-19 22:13:11
I8C,['8CI'],Liquid,2016-04-06 04:54:26
8SX,"['8SX', 'XS8', '8SX']",Solid,2015-04-16 09:47:46
3QB,"['B3Q', 'B3Q', '3BQ']",Solid,2018-11-04 05:43:04
YH3,['3YH'],Gas,2021-08-15 14:00:21
I3E,[],Solid,2013-09-17 17:13:15
6FR,"['6FR', 'R6F', 'F6R']",Gas,2020-09-17 13:36:33
4KD,[],Gas,2010-02-27 10:41:14
L1A,"['1AL', 'L1A']",Gas,2012-01-31 09:32:12
M0X,['MX0'],Gas,2010-07-01 00:56:44
5GD,[],Gas,2017-05-03 19:59:42
B3H,[],Gas,2017-10-20 10:39:36
W5U,"['5WU', 'WU5', 'W5U']",Solid,2019-04-01 07:34:50
3RE,"['RE3', 'R3E']",Gas,2010-09-04 23:09:44
Z7M,"['MZ7', 'MZ7', '7ZM']",Liquid,2010-12-12 22:04:50
3JF,"['3FJ', 'FJ3', '3FJ']",Solid,2014-08-20 07:01:00
R7L,"['7LR', 'LR7', 'LR7']",Liquid,2014-10-15 06:08:02
6BJ,[],Gas,2020-03-23 08:28:05
P8O,"['O8P', 'O8P', '8OP']",Solid,2019-09-11 11:34:25
W3W,[],Gas,2017-03-07 22:29:30
WB7,['B7W'],Liquid,2019-05-12 01:47:52
5RE,['R5E'],Supercritical fluid,2013-11-01 22:40:13
MZ4,['4ZM'],Gas,2016-12-23 09:32:40
DL9,['L9D'],Liquid,2017-11-01 07:55:54
WA6,"['6AW', 'W6A']",Gas,2021-02-14 07:46:32
G1L,"['1LG', 'L1G', 'LG1']",Gas,2014-11-13 14:32:13
6XH,"['6HX', 'HX6']",Gas,2014-12-13 12:08:03
H8Q,"['HQ8', 'HQ8']",Gas,2013-03-05 03:12:28
Q5C,"['5CQ', 'C5Q']",Solid,2011-10-17 19:53:57
LV8,[],Gas,2010-07-01 17:23:13
3PM,"['3MP', '3PM', 'P3M']",Solid,2019-02-07 17:53:24
EJ3,[],Gas,2016-03-04 11:44:03
ON5,"['NO5', '5NO', 'ON5']",Gas,2020-05-02 10:34:01
2MJ,"['2MJ', '2JM']",Liquid,2016-09-08 16:29:18
B4E,['E4B'],Solid,2010-02-05 08:50:57
1CI,[],Liquid,2010-09-16 11:49:47
X1N,"['XN1', '1XN']",Gas,2010-02-24 13:04:54
WZ3,"['3WZ', '3ZW']",Gas,2017-12-12 10:14:25
B9W,['B9W'],Gas,2019-04-29 19:58:11
3MP,"['P3M', '3PM']",Liquid,2020-09-27 01:35:50
B6Y,['YB6'],Solid,2017-11-04 12:43:32
2DT,[],Solid,2020-07-25 18:48:37
PM3,[],Gas,2014-02-07 12:55:19
Y9D,[],Gas,2012-06-27 16:21:18
QH5,"['5HQ', 'QH5', '5QH']",Gas,2019-03-08 09:11:29
0LZ,['LZ0'],Solid,2020-01-04 19:38:38
K3P,[],Solid,2012-11-29 15:42:56
5GS,"['SG5', 'GS5']",Solid,2021-04-06 17:48:49
4AD,"['A4D', 'AD4']",Gas,2010-03-16 22:16:29
GB7,"['GB7', 'BG7']",Liquid,2020-12-31 12:52:15
DW7,['WD7'],Solid,2014-12-09 17:46:26
T1G,"['1GT', '1GT']",Gas,2019-07-07 10:23:20
Z1X,['1XZ'],Gas,2012-06-22 15:33:16
C1R,[],Solid,2018-11-14 08:47:22
7MB,['BM7'],Gas,2016-05-17 19:12:41
D1Q,"['1QD', 'DQ1', '1DQ']",Gas,2010-05-28 18:07:58
9YD,['9YD'],Gas,2011-10-23 06:01:00
QW3,"['WQ3', '3WQ', 'Q3W']",Gas,2011-04-22 05:23:33
AO4,['4OA'],Liquid,2020-09-11 15:52:45
5UQ,"['5UQ', 'UQ5', '5UQ']",Solid,2014-04-10 05:54:15
J5Y,"['5JY', 'J5Y', 'JY5']",Solid,2017-11-10 02:48:27
UC6,"['U6C', '6UC']",Solid,2012-08-05 09:32:37
HE3,['E3H'],Solid,2020-06-01 14:52:39
H5O,['H5O'],Solid,2017-06-19 00:52:55
O3O,"['3OO', 'OO3']",Solid,2017-10-25 07:50:12
E0H,['HE0'],Solid,2010-08-16 10:45:12
Z7C,"['7ZC', 'C7Z', 'ZC7']",Liquid,2018-09-13 15:40:19
3QD,['D3Q'],Liquid,2020-06-28 01:26:59
I4X,"['4XI', 'XI4', '4XI']",Gas,2017-02-10 15:53:44
5XZ,"['Z5X', 'X5Z']",Liquid,2019-05-17 20:12:51
3FJ,"['J3F', '3FJ', 'F3J']",Gas,2019-01-06 18:00:49
VD5,"['DV5', 'D5V']",Gas,2015-04-06 23:15:58
BA8,['8BA'],Gas,2010-01-23 14:38:50
UM9,[],Gas,2012-10-13 21:56:32
TI9,"['T9I', 'I9T']",Gas,2010-02-13 22:31:59
Z6B,"['Z6B', '6BZ']",Liquid,2017-06-06 07:46:30
VQ9,"['9VQ', '9QV']",Solid,2017-01-17 20:31:13
HL6,[],Liquid,2018-01-29 01:42:10
R4L,[],Solid,2020-11-07 22:49:43
RQ2,['2QR'],Gas,2017-07-06 00:21:19
6NG,['G6N'],Gas,2019-05-16 09:27:13
Q3U,[],Liquid,2014-12-16 10:18:18
H8M,[],Liquid,2012-11-18 09:38:37
8GJ,['J8G'],Gas,2010-06-19 12:15:45
5BP,"['PB5', 'P5B']",Liquid,2012-11-15 06:22:10
B0E,[],Solid,2018-06-28 08:42:28
9UT,"['9TU', 'T9U']",Liquid,2017-11-01 10:13:38
TO2,"['OT2', '2TO']",Gas,2021-10-22 18:14:03
1NG,['G1N'],Solid,2019-12-02 16:16:26
3PV,['PV3'],Gas,2011-11-19 01:17:31
1VA,"['VA1', '1VA']",Solid,2010-03-23 22:22:58
RX8,['X8R'],Liquid,2020-06-25 15:41:53
Z6G,"['Z6G', 'ZG6', 'GZ6']",Liquid,2015-03-12 03:05:16
6LG,"['6LG', '6LG', 'L6G']",Gas,2015-06-21 11:53:53
B0Q,[],Solid,2012-05-10 09:52:01
5RC,"['RC5', 'R5C']",Gas,2013-08-27 20:20:31
EF1,[],Solid,2021-11-20 20:25:22
TF1,"['TF1', 'FT1']",Solid,2017-12-05 21:55:14
X3T,['XT3'],Solid,2010-05-19 02:39:07
5HR,"['H5R', 'RH5', 'HR5']",Liquid,2020-03-23 18:12:47
HR9,"['9HR', 'R9H']",Liquid,2021-09-08 06:36:04
1MA,[],Gas,2015-02-06 23:29:45
W4Q,"['4WQ', 'WQ4']",Solid,2014-04-12 00:36:35
C9B,[],Solid,2018-12-02 22:02:27
DV7,"['V7D', '7VD']",Liquid,2011-06-11 02:37:23
X7B,"['B7X', '7BX']",Solid,2020-03-31 08:15:48
H8L,"['LH8', 'L8H']",Liquid,2016-08-28 14:41:18
5BX,"['BX5', 'X5B']",Liquid,2010-03-24 09:03:29
6DU,[],Solid,2012-10-16 18:03:05
ZX8,"['8XZ', 'Z8X', 'XZ8']",Gas,2018-12-07 08:19:30
W2C,"['2WC', 'WC2']",Liquid,2012-03-27 22:37:30
QP7,[],Solid,2010-04-02 06:00:03
P0N,"['N0P', '0NP', '0NP']",Gas,2016-12-31 11:03:27
D1O,"['O1D', '1DO']",Solid,2012-09-06 11:14:22
WH8,"['H8W', 'W8H']",Solid,2019-11-02 05:08:27
CH2,"['2HC', 'HC2', '2HC']",Liquid,2015-10-08 10:15:51
MZ5,"['M5Z', 'Z5M', 'ZM5']",Solid,2011-06-14 08:40:28
TA5,['5AT'],Liquid,2021-02-13 17:39:16
YZ8,"['8ZY', '8YZ']",Solid,2020-11-23 02:32:29
AE4,[],Solid,2021-11-20 02:46:33
E5L,['LE5'],Solid,2018-05-30 06:08:38
Q5L,"['LQ5', 'L5Q']",Gas,2011-09-27 18:08:57
JA4,[],Gas,2012-05-02 06:31:50
9UY,"['Y9U', 'YU9']",Gas,2017-02-19 13:15:56
RS8,['S8R'],Solid,2021-08-08 00:31:00
9WD,"['DW9', '9DW']",Solid,2018-08-07 14:44:26
ZJ3,['Z3J'],Gas,2019-05-13 15:43:53
BT1,"['B1T', 'BT1']",Gas,2019-10-08 02:48:50
C4A,"['4CA', 'CA4', 'A4C']",Liquid,2014-12-15 02:36:01
M9J,['M9J'],Solid,2010-08-20 09:22:36
J6G,"['G6J', 'GJ6']",Solid,2014-03-21 03:00:11
D0C,"['D0C', 'C0D']",Gas,2015-06-02 03:18:51
QV5,"['QV5', '5VQ', 'VQ5']",Liquid,2014-04-23 14:20:32
6WN,[],Liquid,2013-07-24 10:53:52
U2B,"['U2B', 'BU2']",Solid,2015-02-06 22:29:15
D3W,['D3W'],Gas,2013-05-06 10:22:52
V0Z,[],Gas,2021-06-18 13:07:41
WS8,[],Gas,2017-05-11 21:43:57
T8I,['IT8'],Liquid,2016-09-05 07:21:20
8BB,"['BB8', 'BB8', 'B8B']",Liquid,2015-12-20 18:54:42
7MN,['7NM'],Solid,2010-10-24 01:42:45
9XQ,"['9QX', 'XQ9']",Solid,2011-07-17 09:55:16
Y7I,['7IY'],Gas,2014-12-28 00:40:00
Y4Y,"['Y4Y', '4YY']",Liquid,2013-09-05 07:21:14
XN9,[],Gas,2021-12-18 06:56:02
7YE,['YE7'],Liquid,2019-08-20 19:33:10
1ZG,"['1GZ', '1GZ']",Solid,2020-07-26 18:41:30
2XI,['2XI'],Solid,2015-05-26 20:08:40
PA3,['3PA'],Liquid,2016-10-05 22:42:22
4GU,"['4UG', 'G4U', 'GU4']",Plasma,2010-05-27 13:21:25
X9F,"['9XF', '9FX', 'X9F']",Solid,2012-03-26 18:04:32
9PI,"['9IP', 'IP9']",Solid,2015-09-25 13:51:55
NP8,"['8NP', '8NP']",Solid,2018-05-28 08:09:48
P9K,"['P9K', 'K9P']",Solid,2014-05-05 05:27:02
8RH,['8RH'],Liquid,2014-12-18 02:53:12
1ER,"['ER1', 'RE1']",Solid,2017-09-27 15:08:10
TV4,[],Liquid,2021-10-28 07:47:47
EF8,"['8EF', 'F8E']",Gas,2015-08-05 19:29:59
I6Z,[],Liquid,2016-11-20 08:02:04
L6E,"['6EL', 'LE6', '6LE']",Solid,2017-08-30 01:13:43
C4D,['4CD'],Solid,2019-05-20 19:10:26
RI1,"['RI1', 'RI1']",Gas,2021-10-13 01:26:22
VH6,[],Gas,2021-11-22 22:22:39
1ZA,"['Z1A', 'Z1A', 'AZ1']",Liquid,2015-06-20 22:43:24
O3X,[],Solid,2021-12-05 05:13:34
B5M,"['BM5', 'MB5', 'M5B']",Gas,2020-08-12 13:23:09
8XZ,"['XZ8', '8XZ']",Solid,2019-05-22 06:10:51
F8Q,['QF8'],Solid,2021-12-05 05:38:17
2BJ,[],Solid,2012-09-18 06:24:10
P7Y,"['7YP', '7PY', 'P7Y']",Gas,2010-01-15 07:46:35
C1G,"['C1G', 'GC1']",Gas,2020-01-05 09:01:31
J2N,"['J2N', '2JN']",Liquid,2013-08-22 15:10:19
DC6,['6DC'],Liquid,2010-01-25 21:24:43
F2K,['FK2'],Solid,2017-02-28 15:40:34
T9S,"['9TS', 'T9S', 'S9T']",Gas,2012-06-21 01:25:36
2AU,"['U2A', 'AU2', 'A2U']",Liquid,2019-10-17 09:56:15
3MW,['M3W'],Gas,2012-06-14 09:28:40
H4M,"['MH4', 'MH4', 'M4H']",Gas,2013-09-02 21:51:12
6BO,['OB6'],Liquid,2017-06-10 17:16:09
H1L,[],Solid,2011-03-28 16:55:20
DU5,['5UD'],Gas,2014-08-07 19:16:53
C6S,[],Liquid,2018-12-28 23:40:34
PJ1,"['P1J', 'JP1']",Solid,2017-02-20 02:20:56
IB1,"['IB1', 'I1B', 'IB1']",Solid,2012-10-08 13:47:50
U9K,"['U9K', 'UK9']",Liquid,2017-07-07 15:13:05
UD6,[],Gas,2017-06-06 20:34:04
FS3,[],Gas,2019-11-26 10:50:29
P8H,"['HP8', 'H8P']",Solid,2017-08-04 01:30:51
2NX,[],Solid,2015-10-24 23:31:04
P6Q,['6QP'],Gas,2018-04-14 21:25:47
6BD,['BD6'],Liquid,2021-02-25 12:29:30
G1V,"['1VG', 'G1V', '1VG']",Gas,2013-06-07 12:54:18
R6S,[],Solid,2016-05-04 19:38:53
6VW,[],Gas,2012-10-05 17:59:52
C0X,[],Gas,2017-12-27 02:06:31
1YO,"['YO1', 'OY1', '1YO']",Gas,2010-12-08 20:03:32
D6A,"['6DA', 'DA6']",Liquid,2018-03-04 05:54:12
2HU,['HU2'],Liquid,2014-10-20 03:23:49
Q0J,"['J0Q', 'QJ0']",Liquid,2012-12-13 09:35:11
H6Q,[],Solid,2014-12-19 11:16:09
3DO,['3DO'],Gas,2014-09-18 16:56:02
O5D,[],Liquid,2021-04-07 06:34:43
QH8,"['HQ8', 'Q8H']",Gas,2010-03-06 03:51:56
8ZT,[],Solid,2011-06-11 17:23:58
SD1,"['S1D', '1SD']",Gas,2012-12-01 02:59:10
6CR,"['R6C', 'C6R', 'C6R']",Solid,2019-04-12 23:25:31
N8N,[],Liquid,2016-12-31 07:32:50
2OL,"['2LO', 'OL2', '2OL']",Solid,2017-02-08 16:49:25
0PZ,[],Solid,2019-06-15 14:41:47
2XU,['UX2'],Gas,2013-04-13 00:09:11
E4M,"['ME4', 'EM4', 'EM4']",Liquid,2010-02-03 02:47:28
MZ1,"['1MZ', '1ZM']",Solid,2016-04-21 02:00:39
YJ1,['JY1'],Gas,2011-08-09 14:22:31
9UQ,"['QU9', 'UQ9']",Solid,2018-06-29 17:38:21
AG9,['9GA'],Gas,2021-02-15 16:28:13
IB3,"['B3I', 'BI3']",Liquid,2017-04-04 23:33:05
GI4,"['IG4', 'I4G', 'IG4']",Liquid,2020-09-21 04:53:58
O0E,"['OE0', '0OE']",Gas,2017-09-01 06:16:04
1TM,[],Liquid,2016-02-20 11:21:32
O8M,['M8O'],Gas,2019-07-22 00:19:20
8ZZ,['8ZZ'],Gas,2020-11-14 09:09:19
J7C,"['C7J', 'C7J']",Liquid,2015-05-03 04:42:21
W4C,['W4C'],Gas,2010-02-21 03:42:15
6HN,"['6HN', '6HN', 'H6N']",Gas,2020-07-17 21:08:33
6GX,"['GX6', 'XG6']",Liquid,2021-08-02 11:37:55
T1W,['T1W'],Solid,2011-01-05 15:35:27
4KR,[],Solid,2015-04-16 05:09:28
7FY,"['F7Y', 'YF7']",Liquid,2018-08-23 05:42:22
Y5B,"['B5Y', 'YB5', 'B5Y']",Solid,2016-01-09 09:01:31
UA6,"['UA6', 'UA6', 'A6U']",Solid,2019-05-21 18:28:39
VN2,[],Liquid,2019-10-07 02:38:20
VM3,['MV3'],Liquid,2016-01-24 00:52:43
XH3,"['3XH', 'XH3', '3HX']",Solid,2014-08-16 09:13:23
4WB,['4BW'],Liquid,2021-02-06 17:53:03
1PR,[],Solid,2014-12-23 14:15:49
IY5,"['I5Y', 'YI5']",Gas,2013-11-17 07:03:06
X4Q,[],Liquid,2016-02-29 17:32:22
7NC,['N7C'],Liquid,2018-12-12 05:26:33
D2G,"['2GD', 'G2D', '2GD']",Gas,2010-04-28 10:00:43
ZB7,"['BZ7', 'B7Z', 'BZ7']",Gas,2021-11-09 19:28:51
3LI,"['3IL', '3IL', '3IL']",Liquid,2014-05-17 02:59:06
1VK,"['VK1', '1VK', '1VK']",Liquid,2012-04-15 22:21:25
4UY,"['Y4U', 'U4Y']",Gas,2020-06-09 08:22:44
8WK,[],Gas,2010-06-28 16:30:36
JG2,['GJ2'],Liquid,2011-06-04 00:43:12
S5A,"['5SA', '5AS']",Gas,2010-12-11 21:09:07
DV8,[],Liquid,2017-09-03 19:08:55
L6G,"['6LG', '6LG']",Liquid,2014-06-10 20:35:55
W2B,['W2B'],Liquid,2015-07-03 05:56:09
8UP,"['U8P', '8UP', 'PU8']",Solid,2010-06-21 18:32:51
4MY,"['MY4', 'M4Y']",Gas,2021-10-09 05:55:48
7UM,[],Solid,2010-03-27 15:37:33
U3A,['3AU'],Liquid,2010-04-08 14:00:19
B7T,"['BT7', 'T7B', '7TB']",Solid,2013-12-26 03:41:33
B6V,['B6V'],Gas,2019-07-18 17:38:13
5TG,"['5TG', 'GT5', 'G5T']",Gas,2017-04-01 15:42:16
5QL,['5QL'],Liquid,2016-06-25 04:42:14
J1F,"['1JF', 'FJ1', 'JF1']",Solid,2016-05-31 20:58:16
Y1U,[],Solid,2016-05-14 07:11:08
G8E,"['E8G', 'GE8']",Solid,2014-06-14 13:01:44
NS0,[],Solid,2013-10-08 19:19:48
XM5,"['5MX', 'MX5']",Gas,2010-11-15 03:01:23
2CR,"['CR2', 'CR2', 'C2R']",Solid,2016-03-08 19:43:54
T8E,"['8TE', 'ET8', 'ET8']",Solid,2012-09-12 14:03:36
IB8,"['IB8', 'IB8']",Liquid,2013-09-04 10:50:30
BW9,"['9BW', 'WB9']",Gas,2016-12-28 07:21:23
U0M,['0UM'],Gas,2014-05-27 16:59:39
4PW,"['P4W', '4WP', '4PW']",Liquid,2020-10-27 22:07:15
T1W,['WT1'],Liquid,2015-09-25 11:31:57
5YZ,[],Solid,2018-02-06 17:45:35
V4R,['V4R'],Solid,2010-08-28 19:45:35
PB9,"['BP9', 'P9B', 'PB9']",Gas,2012-11-17 06:40:57
W5J,"['5JW', '5WJ']",Liquid,2011-02-08 17:12:30
VC5,['VC5'],Gas,2010-04-10 18:59:33
G7X,[],Gas,2015-09-15 04:42:46
I3U,"['IU3', '3IU']",Gas,2016-05-16 22:48:33
3CM,"['MC3', '3MC', 'CM3']",Liquid,2015-05-22 20:23:30
O4Y,['O4Y'],Liquid,2013-06-05 19:16:58
RZ4,"['4ZR', 'RZ4']",Liquid,2015-09-23 15:54:44
F8F,[],Liquid,2015-02-09 11:19:20
DH9,[],Gas,2010-01-01 18:05:53
3CD,"['CD3', 'CD3', '3CD']",Gas,2019-11-26 17:28:02
HA9,[],Solid,2011-12-17 09:18:44
8OZ,"['8ZO', 'ZO8']",Solid,2012-05-22 20:35:40
TZ9,['T9Z'],Gas,2011-11-02 08:40:55
UK0,[],Gas,2020-08-02 04:12:36
H7T,[],Solid,2017-11-14 22:21:59
9OG,[],Gas,2010-11-07 21:49:57
R5B,['B5R'],Solid,2015-06-20 19:43:21
9ND,"['D9N', '9DN', 'N9D']",Gas,2011-12-05 01:05:22
NM1,"['MN1', 'N1M']",Solid,2020-03-21 05:29:49
6BH,"['6HB', 'BH6', 'BH6']",Gas,2013-01-07 03:35:05
8YW,[],Gas,2017-09-08 07:21:09
YJ4,[],Liquid,2016-07-27 07:11:34
9LW,"['W9L', 'L9W', 'LW9']",Liquid,2010-11-26 12:12:35
N3N,"['N3N', 'NN3', 'NN3']",Liquid,2018-12-01 05:54:34
I6J,[],Liquid,2017-07-11 23:15:09
UE9,['E9U'],Gas,2015-05-29 03:26:40
QL3,"['L3Q', 'Q3L', 'Q3L']",Gas,2016-05-28 12:48:26
M2A,"['2MA', 'A2M']",Solid,2013-01-17 21:44:31
XW2,[],Liquid,2012-07-05 19:48:09
9JD,"['J9D', 'J9D']",Gas,2013-11-22 03:59:22
E3I,['3EI'],Liquid,2020-04-04 13:21:06
9PP,['P9P'],Liquid,2012-03-01 15:05:02
ST9,['9ST'],Gas,2010-10-15 03:21:29
N1G,[],Solid,2018-05-07 06:22:31
7QO,['Q7O'],Liquid,2011-01-21 23:24:06
5ZG,"['5ZG', '5GZ', 'GZ5']",Solid,2014-06-03 19:46:32
9GR,"['GR9', 'RG9', '9RG']",Solid,2011-09-26 13:06:17
H7P,"['PH7', 'PH7']",Solid,2017-08-04 10:59:00
ID8,"['I8D', 'D8I', 'D8I']",Liquid,2020-09-19 13:26:22
1SU,['1SU'],Liquid,2015-08-21 23:34:47
8HK,[],Liquid,2014-04-24 17:28:11
ZU4,[],Solid,2019-01-01 15:32:23
Y1T,"['YT1', '1YT']",Gas,2019-08-25 19:48:39
RZ9,"['R9Z', '9RZ']",Liquid,2011-07-19 12:01:47
V3D,[],Solid,2012-01-03 19:58:30
I1J,[],Solid,2020-02-05 18:13:20
4IR,[],Liquid,2014-10-18 05:06:15
0DO,"['0OD', 'O0D']",Liquid,2015-02-28 21:35:18
L4M,[],Gas,2015-10-07 00:57:37
OE9,"['O9E', 'O9E']",Gas,2010-04-11 20:36:03
P2G,['P2G'],Gas,2021-08-24 07:24:06
R1P,"['PR1', 'PR1']",Liquid,2017-12-18 17:02:24
QS2,[],Liquid,2018-02-09 09:06:50
UE0,[],Gas,2013-01-17 17:32:28
P9X,[],Solid,2014-08-09 07:21:48
DS9,['9SD'],Solid,2021-06-06 21:12:59
B6R,"['6RB', '6RB', 'R6B']",Liquid,2015-05-14 12:30:29
T1R,"['RT1', '1RT']",Gas,2018-12-03 10:48:38
XP3,['3PX'],Gas,2019-10-04 12:46:38
0AS,"['AS0', 'AS0', 'A0S']",Solid,2020-06-17 14:50:14
T6N,"['T6N', '6NT', 'N6T']",Solid,2016-01-28 09:08:01
VF6,[],Liquid,2017-12-26 15:29:38
WI4,['WI4'],Gas,2012-11-16 23:35:42
3TQ,['3TQ'],Gas,2016-11-01 19:20:14
0SA,[],Supercritical fluid,2017-08-22 01:34:06
HG9,[],Solid,2012-02-15 05:54:21
F7H,[],Gas,2020-02-09 08:42:26
F7H,"['7FH', '7HF']",Gas,2016-06-04 15:22:45
I0M,['IM0'],Gas,2021-07-02 18:31:17
1QR,"['1QR', 'QR1']",Liquid,2010-07-10 15:20:13
2PD,"['PD2', 'D2P', 'DP2']",Liquid,2020-03-31 20:44:47
1UX,['1XU'],Gas,2020-07-22 14:21:23
GB6,['GB6'],Liquid,2020-04-23 03:31:03
CO7,[],Solid,2010-02-10 12:05:45
Z8T,"['ZT8', 'TZ8']",Liquid,2021-12-26 03:07:51
2SO,[],Gas,2012-01-20 15:39:32
BW8,[],Supercritical fluid,2021-10-16 17:21:12
DM7,['MD7'],Solid,2010-11-13 02:47:42
E6W,"['6WE', '6WE', 'E6W']",Liquid,2016-06-01 06:56:11
Q2H,['2HQ'],Gas,2019-04-24 21:15:24
6NS,['N6S'],Solid,2013-04-24 17:12:22
UW6,[],Gas,2010-07-22 13:15:13
K0F,[],Gas,2011-09-16 07:33:23
T1U,"['1UT', 'U1T', 'T1U']",Liquid,2021-01-15 19:16:34
WG1,"['W1G', '1GW']",Gas,2015-05-22 16:27:09
9KJ,"['JK9', 'K9J', 'KJ9']",Liquid,2015-07-18 11:28:44
L4L,"['LL4', 'L4L']",Solid,2014-05-24 03:44:17
PZ7,['Z7P'],Solid,2011-05-25 23:48:41
JR9,['JR9'],Gas,2017-05-09 11:57:18
J4Q,['Q4J'],Solid,2014-08-09 20:32:46
V4S,[],Solid,2017-01-08 21:13:59
9JU,"['J9U', '9UJ']",Solid,2013-08-06 20:06:37
8HK,[],Liquid,2012-02-20 09:56:55
F2G,"['2GF', '2FG', '2GF']",Solid,2013-05-08 09:14:31
PF4,"['F4P', 'P4F', '4PF']",Gas,2010-11-03 01:32:25
L1C,[],Liquid,2015-06-06 20:41:06
YT2,"['TY2', 'YT2', '2YT']",Liquid,2012-07-17 19:30:29
7VB,[],Gas,2017-03-08 21:05:02
RU3,"['3RU', 'UR3', '3UR']",Gas,2013-01-18 17:07:34
KD1,[],Solid,2010-05-15 03:39:58
I0V,[],Liquid,2011-02-21 20:21:19
3WJ,['3WJ'],Gas,2018-12-03 03:44:31
ML8,[],Liquid,2019-11-03 16:27:43
WU8,['WU8'],Gas,2016-08-13 00:37:19
L6M,"['6ML', 'LM6', 'ML6']",Gas,2014-01-16 02:09:22
PX0,[],Liquid,2017-05-20 15:36:58
NX8,['NX8'],Solid,2016-11-10 15:15:09
Q6Z,"['Z6Q', '6ZQ', 'Q6Z']",Gas,2018-12-31 13:23:58
7ES,[],Gas,2017-04-15 03:38:34
9XG,"['XG9', '9XG', 'GX9']",Supercritical fluid,2014-05-01 02:40:39
8CM,['C8M'],Solid,2014-06-15 15:01:01
FS0,[],Gas,2018-06-25 10:04:32
JD6,"['6DJ', 'DJ6']",Solid,2020-05-03 04:46:27
R5C,"['5RC', 'RC5', 'C5R']",Liquid,2017-07-31 10:30:23
6OB,"['BO6', '6OB']",Gas,2017-12-07 22:58:41
UR1,"['1UR', '1RU', '1RU']",Gas,2021-06-15 03:13:18
CL4,['CL4'],Supercritical fluid,2012-05-09 14:39:42
H2V,"['2VH', 'H2V']",Liquid,2021-07-22 03:24:14
QQ2,[],Liquid,2011-08-27 20:04:19
N4O,"['4NO', 'O4N']",Gas,2012-05-17 11:44:11
1MQ,"['QM1', '1QM']",Gas,2019-07-25 11:41:06
NT3,"['3NT', 'N3T', 'TN3']",Liquid,2010-10-17 16:48:35
SE7,"['7SE', 'SE7', 'ES7']",Gas,2016-08-29 08:43:23
6LQ,['LQ6'],Gas,2013-10-20 17:10:25
LE5,"['LE5', '5EL']",Liquid,2011-02-17 14:11:41
BF3,"['B3F', 'BF3']",Solid,2020-12-24 21:05:15
N6A,[],Gas,2015-03-25 02:26:16
6YB,[],Liquid,2011-10-16 06:45:45
9OM,[],Liquid,2011-05-17 07:46:02
XG5,[],Solid,2014-03-30 15:25:33
LN7,[],Solid,2013-04-01 06:04:58
XG1,[],Solid,2017-11-26 09:39:35
WN6,"['N6W', '6NW', 'WN6']",Liquid,2016-04-29 09:27:48
KE2,"['2EK', '2KE', '2EK']",Solid,2013-07-10 21:14:44
M1L,['M1L'],Solid,2018-08-26 03:21:28
E2B,"['2BE', 'E2B', 'E2B']",Liquid,2011-04-08 05:54:28
UR9,"['R9U', 'UR9', '9UR']",Solid,2010-10-21 22:08:01
